License Plate,Transaction Type,Description,Value,Customer,Segment,Contract Duration
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Rental,Rental of VW-GOL TREND 1.6 FLEX 4P,1126,customer_1,mining,24
QSS-101,Sale,Sale of VW-GOL TREND 1.6 FLEX 4P,18040,customer_1,mining,24
CSQ-841,Purchase,Purchase of HONDA-CIVIC LX 2.0 FLEX,-95000,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Rental,Rental of HONDA-CIVIC LX 2.0 FLEX,3140,customer_1,mining,24
CSQ-841,Sale,Sale of HONDA-CIVIC LX 2.0 FLEX,48141,customer_1,mining,24
EPR-550,Purchase,Purchase of VW-POLO 1.0 MPI,-54000,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Rental,Rental of VW-POLO 1.0 MPI,1784,customer_1,mining,24
EPR-550,Sale,Sale of VW-POLO 1.0 MPI,25337,customer_1,mining,24
RVD-389,Purchase,Purchase of GM-S10 CABINE SIMPLES,-175555,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Rental,Rental of GM-S10 CABINE SIMPLES,5802,customer_1,mining,24
RVD-389,Sale,Sale of GM-S10 CABINE SIMPLES,81684,customer_1,mining,24
SFE-449,Purchase,Purchase of FIAT-NOVA STRADA ENDURANCE CS 1.4,-81702,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Rental,Rental of FIAT-NOVA STRADA ENDURANCE CS 1.4,2700,customer_1,mining,24
SFE-449,Sale,Sale of FIAT-NOVA STRADA ENDURANCE CS 1.4,39979,customer_1,mining,24
GSG-071,Purchase,Purchase of CHEVROLET-ONIX LT 1.0 FLEX,-58000,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Rental,Rental of CHEVROLET-ONIX LT 1.0 FLEX,1917,customer_1,mining,24
GSG-071,Sale,Sale of CHEVROLET-ONIX LT 1.0 FLEX,29272,customer_1,mining,24
XYJ-983,Purchase,Purchase of FIAT-MOBI LIKE 1.0 FLEX,-48000,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Rental,Rental of FIAT-MOBI LIKE 1.0 FLEX,1586,customer_1,mining,24
XYJ-983,Sale,Sale of FIAT-MOBI LIKE 1.0 FLEX,22020,customer_1,mining,24
JXW-122,Purchase,Purchase of HYUNDAI-HB20 1.6 COMFORT,-65000,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Rental,Rental of HYUNDAI-HB20 1.6 COMFORT,2148,customer_1,mining,24
JXW-122,Sale,Sale of HYUNDAI-HB20 1.6 COMFORT,30920,customer_1,mining,24
OYB-235,Purchase,Purchase of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,-201850,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Rental,Rental of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,6672,customer_1,mining,24
OYB-235,Sale,Sale of MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,104364,customer_1,mining,24
LQU-874,Purchase,Purchase of HILUX CS DSL 4X4,-262854,customer_1,mining,24
LQU-874,Rental,Rental of HILUX CS DSL 4X4,8688,customer_1,mining,24
LQU-874,Rental,Rental of HILUX CS DSL 4X4,8688,customer_1,mining,24
LQU-874,Rental,Rental of HILUX CS DSL 4X4,8688,customer_1,mining,24
LQU-874,Rental,Rental of HILUX CS DSL 4X4,8688,customer_1,mining,24
LQU-874,Rental,Rental of HILUX CS DSL 4X4,8688,customer_1,mining,24
LQU-874,Rental,Rental of HILUX CS DSL 4X4,8688,customer_1,mining,24
LQU-874,Rental,Rental of HILUX CS DSL 4X4,8688,customer_1,mining,24
LQU-874,Rental,Rental of HILUX CS DSL 4X4,8688,customer_1,mining,24
LQU-874,Rental,Rental of HILUX CS DSL 4X4,8688,customer_1,mining,24
LQU-874,Rental,Rental of HILUX CS DSL 4X4,8688,customer_1,mining,24
LQU-874,Rental,Rental of HILUX CS DSL 4X4,8688,customer_1,mining,24
LQU-874,Rental,Rental of HILUX CS DSL 4X4,8688,customer_1,mining,24
LQU-874,Rental,Rental of HILUX CS DSL 4X4,8688,customer_1,mining,24
LQU-874,Rental,Rental of HILUX CS DSL 4X4,8688,customer_1,mining,24
LQU-874,Rental,Rental of HILUX CS DSL 4X4,8688,customer_1,mining,24
LQU-874,Rental,Rental of HILUX CS DSL 4X4,8688,customer_1,mining,24
LQU-874,Rental,Rental of HILUX CS DSL 4X4,8688,customer_1,mining,24
LQU-874,Rental,Rental of HILUX CS DSL 4X4,8688,customer_1,mining,24
LQU-874,Rental,Rental of HILUX CS DSL 4X4,8688,customer_1,mining,24
LQU-874,Rental,Rental of HILUX CS DSL 4X4,8688,customer_1,mining,24
LQU-874,Rental,Rental of HILUX CS DSL 4X4,8688,customer_1,mining,24
LQU-874,Rental,Rental of HILUX CS DSL 4X4,8688,customer_1,mining,24
