id_customer,id_vehicle,desc_vehicle,purchase_value,selling_value,segment,contract_duration
customer_81,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,61447,energy,13
customer_59,vehicle_1,SAVEIRO CS RB MPI,82245,51763,energy,32
customer_49,vehicle_8,GM-S10 CABINE SIMPLES,175555,120872,energy,34
customer_89,vehicle_7,HILUX CS DSL 4X4,262854,201641,agribusiness,17
customer_26,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,136854,engineering,9
customer_92,vehicle_1,SAVEIRO CS RB MPI,82245,60363,agribusiness,16
customer_70,vehicle_6,TOYOTA-HILUX CS 4X4,172298,127150,engineering,12
customer_28,vehicle_8,GM-S10 CABINE SIMPLES,175555,133701,agribusiness,17
customer_97,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,24053,engineering,6
customer_27,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,59860,energy,33
customer_32,vehicle_6,TOYOTA-HILUX CS 4X4,172298,90472,mining,35
customer_35,vehicle_8,GM-S10 CABINE SIMPLES,175555,88336,mining,23
customer_12,vehicle_10,TOYOTA-HILUX CD 4X4 STANDART,162366,103429,energy,13
customer_26,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,43887,engineering,5
customer_95,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,64900,agribusiness,21
customer_52,vehicle_1,SAVEIRO CS RB MPI,82245,59903,engineering,10
customer_59,vehicle_8,GM-S10 CABINE SIMPLES,175555,117125,energy,32
customer_1,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,48435,agribusiness,15
customer_38,vehicle_8,GM-S10 CABINE SIMPLES,175555,114607,energy,16
customer_17,vehicle_6,TOYOTA-HILUX CS 4X4,172298,126451,other,10
customer_79,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,55487,engineering,11
customer_85,vehicle_1,SAVEIRO CS RB MPI,82245,59422,energy,13
customer_48,vehicle_6,TOYOTA-HILUX CS 4X4,172298,79733,mining,32
customer_85,vehicle_1,SAVEIRO CS RB MPI,82245,51657,energy,24
customer_17,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,60663,other,17
customer_82,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,154569,other,17
customer_58,vehicle_8,GM-S10 CABINE SIMPLES,175555,129030,agribusiness,13
customer_76,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,36364,mining,20
customer_65,vehicle_6,TOYOTA-HILUX CS 4X4,172298,104977,energy,21
customer_79,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,59043,engineering,5
customer_61,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,64109,agribusiness,24
customer_56,vehicle_8,GM-S10 CABINE SIMPLES,175555,90436,mining,24
customer_81,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,149656,energy,35
customer_31,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,57825,engineering,5
customer_65,vehicle_6,TOYOTA-HILUX CS 4X4,172298,127471,energy,16
customer_45,vehicle_7,HILUX CS DSL 4X4,262854,179649,energy,33
customer_9,vehicle_6,TOYOTA-HILUX CS 4X4,172298,80067,mining,22
customer_100,vehicle_10,TOYOTA-HILUX CD 4X4 STANDART,162366,81438,mining,27
customer_80,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,26882,other,9
customer_16,vehicle_6,TOYOTA-HILUX CS 4X4,172298,126040,other,15
customer_30,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,70875,agribusiness,22
customer_23,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,18339,mining,26
customer_35,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,15446,mining,17
customer_35,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,39958,mining,17
customer_42,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,44587,mining,32
customer_94,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,23815,engineering,9
customer_87,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,60209,engineering,13
customer_89,vehicle_10,TOYOTA-HILUX CD 4X4 STANDART,162366,117803,agribusiness,14
customer_83,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,47268,other,23
customer_89,vehicle_1,SAVEIRO CS RB MPI,82245,58272,agribusiness,20
customer_41,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,54445,energy,20
customer_80,vehicle_6,TOYOTA-HILUX CS 4X4,172298,134710,other,6
customer_36,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,46122,energy,23
customer_44,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,40625,energy,24
customer_67,vehicle_1,SAVEIRO CS RB MPI,82245,60058,energy,19
customer_34,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,46355,agribusiness,20
customer_51,vehicle_10,TOYOTA-HILUX CD 4X4 STANDART,162366,78555,mining,30
customer_7,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,46578,other,16
customer_18,vehicle_1,SAVEIRO CS RB MPI,82245,39885,mining,22
customer_18,vehicle_10,TOYOTA-HILUX CD 4X4 STANDART,162366,86460,mining,22
customer_97,vehicle_6,TOYOTA-HILUX CS 4X4,172298,120326,engineering,5
customer_80,vehicle_8,GM-S10 CABINE SIMPLES,175555,137608,other,18
customer_44,vehicle_8,GM-S10 CABINE SIMPLES,175555,120007,energy,33
customer_43,vehicle_8,GM-S10 CABINE SIMPLES,175555,90857,mining,33
customer_16,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,64923,other,18
customer_31,vehicle_7,HILUX CS DSL 4X4,262854,171966,engineering,9
customer_83,vehicle_1,SAVEIRO CS RB MPI,82245,60420,other,13
customer_80,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,145873,other,19
customer_61,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,158478,agribusiness,22
customer_62,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,61696,engineering,13
customer_2,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,153066,agribusiness,23
customer_37,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,148774,agribusiness,24
customer_21,vehicle_1,SAVEIRO CS RB MPI,82245,57780,agribusiness,23
customer_89,vehicle_6,TOYOTA-HILUX CS 4X4,172298,134237,agribusiness,13
customer_77,vehicle_6,TOYOTA-HILUX CS 4X4,172298,113939,energy,24
customer_92,vehicle_8,GM-S10 CABINE SIMPLES,175555,122908,agribusiness,14
customer_55,vehicle_1,SAVEIRO CS RB MPI,82245,61076,energy,23
customer_93,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,149282,other,24
customer_37,vehicle_6,TOYOTA-HILUX CS 4X4,172298,137166,agribusiness,12
customer_81,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,53592,energy,15
customer_25,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,24517,other,16
customer_13,vehicle_1,SAVEIRO CS RB MPI,82245,64855,other,20
customer_15,vehicle_10,TOYOTA-HILUX CD 4X4 STANDART,162366,118058,energy,23
customer_12,vehicle_8,GM-S10 CABINE SIMPLES,175555,105792,energy,31
customer_47,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,16370,mining,27
customer_93,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,60655,other,7
customer_99,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,48415,mining,21
customer_46,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,94273,mining,25
customer_38,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,51253,energy,15
customer_45,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,58630,energy,26
customer_20,vehicle_6,TOYOTA-HILUX CS 4X4,172298,121312,engineering,11
customer_45,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,140102,energy,22
customer_18,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,47907,mining,19
customer_82,vehicle_8,GM-S10 CABINE SIMPLES,175555,130578,other,11
customer_59,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,45389,energy,20
customer_14,vehicle_7,HILUX CS DSL 4X4,262854,186476,energy,18
customer_95,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,26294,agribusiness,24
customer_69,vehicle_1,SAVEIRO CS RB MPI,82245,62068,other,17
customer_44,vehicle_1,SAVEIRO CS RB MPI,82245,55160,energy,27
customer_97,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,140027,engineering,14
customer_8,vehicle_1,SAVEIRO CS RB MPI,82245,41169,mining,21
customer_67,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,47947,energy,23
customer_3,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,59939,engineering,8
customer_18,vehicle_6,TOYOTA-HILUX CS 4X4,172298,85189,mining,19
customer_76,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,16252,mining,35
customer_44,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,146252,energy,16
customer_47,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,31839,mining,33
customer_96,vehicle_6,TOYOTA-HILUX CS 4X4,172298,131213,agribusiness,12
customer_65,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,138900,energy,19
customer_13,vehicle_6,TOYOTA-HILUX CS 4X4,172298,120653,other,19
customer_36,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,53594,energy,25
customer_16,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,63868,other,15
customer_57,vehicle_8,GM-S10 CABINE SIMPLES,175555,115505,energy,24
customer_32,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,36264,mining,15
customer_13,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,47957,other,23
customer_76,vehicle_6,TOYOTA-HILUX CS 4X4,172298,82484,mining,31
customer_89,vehicle_6,TOYOTA-HILUX CS 4X4,172298,136799,agribusiness,23
customer_48,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,41408,mining,16
customer_51,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,41204,mining,30
customer_59,vehicle_6,TOYOTA-HILUX CS 4X4,172298,105963,energy,34
customer_77,vehicle_10,TOYOTA-HILUX CD 4X4 STANDART,162366,112130,energy,27
customer_23,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,99577,mining,32
customer_82,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,25918,other,17
customer_88,vehicle_7,HILUX CS DSL 4X4,262854,188819,energy,20
customer_50,vehicle_7,HILUX CS DSL 4X4,262854,130570,mining,33
customer_10,vehicle_7,HILUX CS DSL 4X4,262854,182060,energy,32
customer_70,vehicle_6,TOYOTA-HILUX CS 4X4,172298,115246,engineering,8
customer_59,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,125383,energy,20
customer_95,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,49767,agribusiness,15
customer_66,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,131237,energy,22
customer_58,vehicle_6,TOYOTA-HILUX CS 4X4,172298,126855,agribusiness,21
customer_56,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,91756,mining,16
customer_68,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,43269,mining,27
customer_48,vehicle_8,GM-S10 CABINE SIMPLES,175555,94523,mining,22
customer_79,vehicle_6,TOYOTA-HILUX CS 4X4,172298,123715,engineering,9
customer_98,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,126921,energy,20
customer_100,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,107441,mining,16
customer_83,vehicle_6,TOYOTA-HILUX CS 4X4,172298,128690,other,22
customer_62,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,57580,engineering,14
customer_55,vehicle_7,HILUX CS DSL 4X4,262854,167753,energy,21
customer_100,vehicle_1,SAVEIRO CS RB MPI,82245,43962,mining,32
customer_71,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,21600,energy,21
customer_24,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,59671,agribusiness,17
customer_87,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,60398,engineering,8
customer_90,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,47534,agribusiness,22
customer_46,vehicle_7,HILUX CS DSL 4X4,262854,135749,mining,21
customer_18,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,15204,mining,32
customer_100,vehicle_6,TOYOTA-HILUX CS 4X4,172298,76946,mining,22
customer_51,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,39363,mining,30
customer_34,vehicle_1,SAVEIRO CS RB MPI,82245,60729,agribusiness,18
customer_10,vehicle_8,GM-S10 CABINE SIMPLES,175555,122197,energy,16
customer_32,vehicle_10,TOYOTA-HILUX CD 4X4 STANDART,162366,84566,mining,18
customer_61,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,158367,agribusiness,21
customer_23,vehicle_1,SAVEIRO CS RB MPI,82245,39339,mining,29
customer_70,vehicle_8,GM-S10 CABINE SIMPLES,175555,127258,engineering,10
customer_87,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,60906,engineering,12
customer_89,vehicle_1,SAVEIRO CS RB MPI,82245,59776,agribusiness,16
customer_36,vehicle_1,SAVEIRO CS RB MPI,82245,59962,energy,16
customer_1,vehicle_6,TOYOTA-HILUX CS 4X4,172298,131503,agribusiness,20
customer_34,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,26573,agribusiness,21
customer_88,vehicle_1,SAVEIRO CS RB MPI,82245,59132,energy,35
customer_4,vehicle_8,GM-S10 CABINE SIMPLES,175555,125087,agribusiness,19
customer_85,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,45774,energy,12
customer_28,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,65134,agribusiness,14
customer_98,vehicle_7,HILUX CS DSL 4X4,262854,182874,energy,32
customer_90,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,70724,agribusiness,14
customer_98,vehicle_8,GM-S10 CABINE SIMPLES,175555,127720,energy,21
customer_73,vehicle_7,HILUX CS DSL 4X4,262854,186452,engineering,11
customer_7,vehicle_8,GM-S10 CABINE SIMPLES,175555,130396,other,22
customer_99,vehicle_6,TOYOTA-HILUX CS 4X4,172298,86838,mining,16
customer_77,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,20650,energy,25
customer_98,vehicle_6,TOYOTA-HILUX CS 4X4,172298,127010,energy,36
customer_48,vehicle_6,TOYOTA-HILUX CS 4X4,172298,83646,mining,26
customer_15,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,51369,energy,33
customer_29,vehicle_6,TOYOTA-HILUX CS 4X4,172298,78304,mining,15
customer_1,vehicle_8,GM-S10 CABINE SIMPLES,175555,134096,agribusiness,15
customer_16,vehicle_7,HILUX CS DSL 4X4,262854,208214,other,21
customer_27,vehicle_8,GM-S10 CABINE SIMPLES,175555,116237,energy,35
customer_26,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,23302,engineering,10
customer_30,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,25427,agribusiness,24
customer_67,vehicle_7,HILUX CS DSL 4X4,262854,176446,energy,21
customer_66,vehicle_8,GM-S10 CABINE SIMPLES,175555,125422,energy,26
customer_59,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,41708,energy,28
customer_36,vehicle_8,GM-S10 CABINE SIMPLES,175555,115887,energy,27
customer_42,vehicle_7,HILUX CS DSL 4X4,262854,129523,mining,27
customer_96,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,25296,agribusiness,20
customer_70,vehicle_6,TOYOTA-HILUX CS 4X4,172298,113443,engineering,5
customer_67,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,54396,energy,18
customer_37,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,145158,agribusiness,14
customer_23,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,92453,mining,26
customer_41,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,62139,energy,17
customer_59,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,54735,energy,21
customer_9,vehicle_6,TOYOTA-HILUX CS 4X4,172298,78399,mining,19
customer_52,vehicle_7,HILUX CS DSL 4X4,262854,174837,engineering,7
customer_62,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,42469,engineering,14
customer_34,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,153877,agribusiness,12
customer_49,vehicle_8,GM-S10 CABINE SIMPLES,175555,129863,energy,30
customer_30,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,24542,agribusiness,22
customer_94,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,57357,engineering,15
customer_27,vehicle_1,SAVEIRO CS RB MPI,82245,57424,energy,23
customer_92,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,27218,agribusiness,16
customer_29,vehicle_1,SAVEIRO CS RB MPI,82245,44439,mining,32
customer_97,vehicle_8,GM-S10 CABINE SIMPLES,175555,123202,engineering,6
customer_59,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,23849,energy,26
customer_88,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,24231,energy,19
customer_95,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,63179,agribusiness,15
customer_96,vehicle_1,SAVEIRO CS RB MPI,82245,62255,agribusiness,22
customer_96,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,47584,agribusiness,19
customer_49,vehicle_8,GM-S10 CABINE SIMPLES,175555,125430,energy,19
customer_30,vehicle_6,TOYOTA-HILUX CS 4X4,172298,128632,agribusiness,16
customer_37,vehicle_7,HILUX CS DSL 4X4,262854,202917,agribusiness,20
customer_15,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,136230,energy,26
customer_97,vehicle_7,HILUX CS DSL 4X4,262854,182554,engineering,14
customer_84,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,62420,other,8
customer_6,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,24727,energy,14
customer_97,vehicle_1,SAVEIRO CS RB MPI,82245,53501,engineering,14
customer_23,vehicle_10,TOYOTA-HILUX CD 4X4 STANDART,162366,76815,mining,30
customer_35,vehicle_1,SAVEIRO CS RB MPI,82245,36965,mining,23
customer_6,vehicle_1,SAVEIRO CS RB MPI,82245,52725,energy,32
customer_60,vehicle_1,SAVEIRO CS RB MPI,82245,63152,other,24
customer_43,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,41310,mining,17
customer_83,vehicle_10,TOYOTA-HILUX CD 4X4 STANDART,162366,127811,other,6
customer_81,vehicle_6,TOYOTA-HILUX CS 4X4,172298,107271,energy,16
customer_42,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,105210,mining,15
customer_91,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,23696,engineering,15
customer_36,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,55912,energy,30
customer_52,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,137085,engineering,10
customer_70,vehicle_6,TOYOTA-HILUX CS 4X4,172298,126066,engineering,15
customer_1,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,47600,agribusiness,19
customer_77,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,47441,energy,19
customer_75,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,44862,other,9
customer_51,vehicle_10,TOYOTA-HILUX CD 4X4 STANDART,162366,75913,mining,17
customer_85,vehicle_8,GM-S10 CABINE SIMPLES,175555,110444,energy,32
customer_22,vehicle_10,TOYOTA-HILUX CD 4X4 STANDART,162366,106961,energy,18
customer_72,vehicle_6,TOYOTA-HILUX CS 4X4,172298,86190,mining,31
customer_32,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,44998,mining,24
customer_95,vehicle_6,TOYOTA-HILUX CS 4X4,172298,131366,agribusiness,18
customer_58,vehicle_7,HILUX CS DSL 4X4,262854,204404,agribusiness,20
customer_66,vehicle_8,GM-S10 CABINE SIMPLES,175555,108515,energy,25
customer_19,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,57785,energy,28
customer_46,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,34548,mining,19
customer_93,vehicle_7,HILUX CS DSL 4X4,262854,191109,other,15
customer_85,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,21248,energy,26
customer_22,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,60015,energy,34
customer_13,vehicle_7,HILUX CS DSL 4X4,262854,207700,other,18
customer_70,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,24338,engineering,14
customer_39,vehicle_1,SAVEIRO CS RB MPI,82245,59753,agribusiness,22
customer_90,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,23908,agribusiness,17
customer_19,vehicle_7,HILUX CS DSL 4X4,262854,176162,energy,17
customer_35,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,43607,mining,36
customer_50,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,15249,mining,20
customer_18,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,16052,mining,36
customer_37,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,69988,agribusiness,22
customer_50,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,40635,mining,24
customer_28,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,141885,agribusiness,24
customer_75,vehicle_10,TOYOTA-HILUX CD 4X4 STANDART,162366,114827,other,7
customer_1,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,155210,agribusiness,24
customer_9,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,16798,mining,21
customer_56,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,18180,mining,33
customer_25,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,24953,other,16
customer_43,vehicle_2,VW-GOL TREND 1.6 FLEX 4P,34083,15102,mining,16
customer_84,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,161075,other,21
customer_70,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,60627,engineering,10
customer_97,vehicle_9,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,201850,133721,engineering,8
customer_77,vehicle_5,DUSTER OROCH EXPRESS 1.6 SCE,88606,65079,energy,31
customer_81,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,49742,energy,21
customer_65,vehicle_7,HILUX CS DSL 4X4,262854,162993,energy,20
customer_95,vehicle_8,GM-S10 CABINE SIMPLES,175555,137413,agribusiness,18
customer_9,vehicle_6,TOYOTA-HILUX CS 4X4,172298,92534,mining,22
customer_4,vehicle_10,TOYOTA-HILUX CD 4X4 STANDART,162366,120845,agribusiness,18
customer_94,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,59222,engineering,6
customer_71,vehicle_6,TOYOTA-HILUX CS 4X4,172298,107921,energy,14
customer_25,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,49531,other,14
customer_55,vehicle_8,GM-S10 CABINE SIMPLES,175555,129722,energy,29
customer_15,vehicle_4,FIAT - ARGO DRIVE 1.0,64061,40007,energy,29
customer_2,vehicle_6,TOYOTA-HILUX CS 4X4,172298,124870,agribusiness,20
customer_95,vehicle_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,81702,58312,agribusiness,17
customer_55,vehicle_10,TOYOTA-HILUX CD 4X4 STANDART,162366,99636,energy,26
